Food,Deli Meat,Ground Meat,Boiled Meat,Fried/Barbecued,Lettuce,Rice,Beans,Cheese,Cooked Tomatoes,Raw Tomatoes,Ketchup,Leavening,Pastry,Bread Sweetness,Filling Sweetness,Bread Stiffness,Bread Cooked,Sides Covered,Number Pieces,Spiciness,Served Hot,Wetness,Laminarity,Mayonnaise,Utensils
Burrito,0,0,0,1,1,1,1,1,0,0.9,0,0,0,0,1,0,0,6,1,1,1,2,0,0,0
Sope,0,0.25,0,1,1,1,1,1,0,0.9,0,1,0,3,1,0,1,1,1,1,1,1,3,0,1
Hard Taco,0,0.6,0,1,1,1,1,1,0,0.9,0,0,0,0,1,5,1,3,1,1,1,2,0,0,0
Soft Taco,0,0.25,0,1,1,1,1,1,0,0.9,0,0,0,0,1,0,0,1,1.5,1,1,3,0,0,0
Wrap,0.75,0,0,1,1,0,0,1,0,0.3,1,0,0,0,1,0,0,6,1,1,0,0,4,1,0
Hot Dog,0,1,1,0,0,0,0,0,0,0.5,1,2,0,3,0,2,0,3,1,0,1,1,0,0,0
Burger,0,0.9,0,0,1,0,0,1,0,1,1,2,0,3,1,2,0,2,2,0,1,1,5,1,0
Pizza,0,0.5,0,0,0,0,0,1,1,0,0,1,0,0,3,1,1,1,1,1,1,4,3,0,0.5
Calzone,0,0.9,0,0,0,0,0,1,1,0,0,1,0,0,2,3,1,6,1,1,1,2,0,0,0
Meatball Sub,0,1,0,0,0,0,0,1,1,0,0,2,0,2,2,2,0,3,1,0,1,4,0,0,0
Sloppy Joe,0,1,0,0,0,0,0,0,1,0,0,2,0,3,3,2,0,2,2,0,1,5,2,0,1
Bao,0,0.6,1,1,0,0,1,0,0,0,0,2,0,4,4,1,1,6,1,0,1,1,0,0,0.5
Torta,0,0,0,1,1,0,0,1,0,0.9,0,2,0,2,1,3,0,2,2,0,1,1,5,1,0
Pasty,0,0.95,0,0,0,0,0,1,1,0,0,0,1,3,3,3,1,6,1,0,1,1,0,0,0
Empanada,0,0.95,0,0,0,0,0,1,1,0,0,0,1,2,1,3,1,6,1,1,1,4,0,0,0
Club Sandwich,1,0,0,0,1,0,0,1,0,0.8,1,1,0,2,1,4,0,2,2,0,0,0,5,1,0
Dumpling,0,0.98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,1,5,0,0,1
Hoagie,0.5,0,0,1,1,0,0,1,0,0.8,1,2,0,2,2,2,0,3,1,0,0,1,2,1,0
Po' Boy,0.5,0,0,1,1,0,0,0,0,1,1,2,0,2,2,2,0,3,1,1,0,2,2,1,0
Panini,0.8,0,0,0,0,0,0,1,0,0.5,0,1,0,2,2,4,1,2,2,0,1,3,5,1,0
Pig-In-A-Blanket,1,1,0,0,0,0,0,0,0,0,1,0,1,3,1,4,1,4,1,0,1,0,0,0,0
Cheesesteak,1,0,0,1,0,0,0,1,0,0,1,2,0,3,2,2,0,3,1,1,1,3,1,0,0
Temaki,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,3,0,0
Banh Mi,0.5,0,0,1,0,0,0,0,0,0,0,2,0,1,1,4,0,3,1,1,0,0,2,1,0
French Dip,0.8,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,3,1,0,1,5,2,0,0
Grilled Cheese,0.5,0,0,0,0,0,0,1,0,0,0,1,0,3,2,4,1,2,2,0,1,4,5,0,0
Falafel Pita,0,0,0,0,1,0,1,0,0,0.7,0,1,0,0,2,1,0,5,1,1,1,2,0,0,0
Gyro,0,0,0,1,1,0,0,0,0,0.7,0,0,0,0,2,0,0,3,1,1,1,1,3,0,0
Reuben,1,0,0,0,0,0,0,1,0,0,1,1,0,2,2,3,0,2,2,0,1,2,5,1,0
Quesadilla,0,0.25,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,2,2,1,1,3,4,0,0.5
Beef Wellington,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,4,1,6,1,0,1,0,0,0,1
Oreo,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,1,2,2,0,0,0,5,0,0
Ice Cream Sandwich,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5,5,5,1,2,2,0,0,4,3,0,0
PBJ,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,3,0,2,2,0,0,0,5,0,0
Bagel Sandwich,1,0,0,0,0,0,0,1,0,0.9,0,2,1,4,2,4,0,2,2,0,0,3,5,0,0
Dirty Dog,0,1,1,1,0,0,0,0,0,0,1,2,0,3,0,2,0,3,1,0,1,1,0,0,0
Egg Salad Sandwich,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,3,0,2,2,0,0,4,2,1,0
Croque Monsieur,1,0,0,0,0,0,0,1,0,0,0,2,0,3,2,4,1,2,2,0,1,2,5,0,0
Toast,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,5,1,1,1,0,1,0,5,0,0
